,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
383,wicked (tour: emerald city),US-NC-517,52,52,52,62,NC
384,wicked (tour: emerald city),US-MA-506,65,73,70,87,MA
385,avenue q (tour),US-KY-529,57,62,68,97,KY
387,wicked (tour: emerald city),US-GA-524,56,54,58,91,GA
389,avenue q (tour),US-CA-803,51,49,54,76,CA
390,wicked (tour: emerald city),US-WA-819,61,57,59,68,WA
392,wicked (tour: emerald city),US-NY-538,55,61,63,95,NY
394,avenue q (tour),US-IA-679,35,36,36,47,IA
395,avenue q (tour),US-DC-511,56,59,62,66,DC
396,movin' out (tour),US-IL-602,45,45,45,62,IL
397,avenue q (tour),US-MN-613,59,68,68,82,MN
398,wicked (tour: emerald city),US-PA-504,39,49,54,49,PA
399,movin' out (tour),US-OR-820,55,47,50,63,OR
401,avenue q (tour),US-AZ-789,35,41,43,70,AZ
402,avenue q (tour),US-OH-510,73,76,80,96,OH
403,movin' out (tour),US-NY-538,15,18,27,84,NY
404,movin' out (tour),US-IL-609,31,29,31,90,IL
405,wicked (tour: emerald city),US-FL-534,34,27,35,77,FL
407,wicked (tour: emerald city),CA-ON,32,31,38,85,ON
408,wicked (tour: emerald city),US-IL-602,30,18,20,88,IL
409,movin' out (tour),US-GA-524,23,20,20,34,GA
410,wicked (tour: emerald city),US-CA-825,19,28,30,100,CA
411,wicked (tour: emerald city),US-GA-524,43,18,23,100,GA
412,avenue q (tour),US-NC-560,16,18,22,92,NC
413,wicked (tour: emerald city),US-MI-505,18,23,28,100,MI
414,wicked (tour: emerald city),US-DC-511,25,28,25,100,DC
415,wicked (tour: emerald city),US-OR-820,46,33,29,100,OR
416,wicked (tour: emerald city),US-OH-515,16,21,21,96,OH
417,avenue q (tour),US-TX-618,24,31,37,39,TX
418,movin' out (tour),US-DC-511,23,26,30,62,DC
421,avenue q (tour),US-KY-529,17,19,19,87,KY
423,movin' out (tour),US-TX-618,15,22,27,100,TX
424,movin' out (tour),US-MA-506,59,31,27,98,MA
425,movin' out (tour),US-WA-819,35,22,21,100,WA
426,avenue q (tour),US-MO-616,26,22,20,67,MO
428,avenue q (tour),US-FL-528,38,30,35,55,FL
429,avenue q (tour),US-CA-825,16,8,12,100,CA
430,movin' out (tour),US-MN-613,14,13,13,83,MN
440,wicked (tour: emerald city),US-CT-533,95,18,10,67,CT
444,wicked (tour: emerald city),US-MA-521,82,7,3,29,MA
446,movin' out (tour),US-NC-560,63,11,5,31,NC
458,movin' out (tour),US-TX-623,19,11,10,80,TX
461,wicked (tour: emerald city),US-FL-539,83,9,8,88,FL
479,avenue q (tour),US-NY-538,23,6,11,100,NY
480,avenue q (tour),US-KY-529,45,7,10,100,KY
482,wicked (tour: emerald city),US-CA-807,26,7,11,100,CA
484,avenue q (tour),US-IA-679,7,6,16,69,IA
485,wicked (tour: emerald city),US-CA-803,7,4,9,7,CA
488,wicked (tour: emerald city),US-CA-825,15,5,7,83,CA
489,avenue q (tour),US-MN-613,19,8,10,100,MN
490,avenue q (tour),US-FL-528,32,10,15,84,FL
491,movin' out (tour),US-IL-602,10,7,9,100,IL
492,wicked (tour: emerald city),US-OK-650,7,6,7,100,OK
493,movin' out (tour),US-TX-618,31,9,10,100,TX
494,wicked (tour: emerald city),US-OH-535,14,4,6,100,OH
496,movin' out (tour),US-MO-616,2,3,5,77,MO
497,wicked (tour: emerald city),US-MD-512,9,4,5,96,MD
500,movin' out (tour),US-DC-511,13,3,7,90,DC
502,avenue q (tour),US-DC-511,13,6,13,100,DC
506,movin' out (tour),US-CO-751,23,11,17,0,CO
510,avenue q (tour),US-MO-616,23,5,9,100,MO
512,wicked (tour: emerald city),US-IL-609,60,17,13,0,IL
514,avenue q (tour),US-NY-514,17,5,7,100,NY
517,movin' out (tour),US-TX-635,9,3,7,90,TX
519,movin' out (tour),US-TX-623,21,5,7,100,TX
521,wicked (tour: emerald city),US-GA-524,8,4,7,100,GA
522,movin' out (tour),US-CA-803,7,8,12,91,CA
523,wicked (tour: emerald city),US-AZ-753,10,4,8,100,AZ
524,avenue q (tour),US-MA-506,41,2,10,100,MA
525,wicked (tour: emerald city),US-FL-528,41,6,11,0,FL
530,wicked (tour: emerald city),US-CO-751,16,6,8,100,CO
532,wicked (tour: emerald city),US-OR-820,14,6,8,88,OR
533,movin' out (tour),US-NE-652,12,4,8,100,NE
535,avenue q (tour),US-NC-560,5,3,8,100,NC
539,movin' out (tour),US-FL-528,5,3,11,100,FL
540,wicked (tour: emerald city),US-WA-819,7,5,21,49,WA
541,movin' out (tour),US-MA-521,7,4,18,82,MA
542,wicked (tour: emerald city),US-NC-517,8,5,11,98,NC
544,movin' out (tour),US-NV-770,5,3,10,92,NV
545,wicked (tour: emerald city),US-TX-618,11,9,18,59,TX
546,movin' out (tour),US-IL-609,6,5,12,80,IL
