,Unnamed: 0,title,tour_descript,show_type,tour_opening,tour_closing,original_or_revival,reference_url,year
568,568,A Night with Janis Joplin (Tour),Tour,Musical,2019-09-13 00:00:00,2019-10-20 00:00:00,Original,http://www.ibdb.com/broadway-production/a-night-with-janis-joplin-526409#Tours,2019
570,570,I Do! I Do! (Tour),Tour,Musical,1968-04-08 00:00:00,1969-02-23 00:00:00,Original,http://www.ibdb.com/broadway-production/i-do-i-do-526486#Tours,1968
571,571,"Hello, Dolly! (Tour)",Tour,Musical,1975-06-23 00:00:00,1976-01-24 00:00:00,Revival,http://www.ibdb.com/broadway-production/hello-dolly-526497#Tours,1975
572,572,I Do! I Do! (Tour),Tour,Musical,1969-09-11 00:00:00,1970-06-21 00:00:00,Original,http://www.ibdb.com/broadway-production/i-do-i-do-526508#Tours,1969
573,573,Mame (Tour),Tour,Musical,1967-08-29 00:00:00,1968-06-15 00:00:00,Original,http://www.ibdb.com/broadway-production/mame-526521#Tours,1967
574,574,Plaza Suite (Tour),Tour,Play,1968-09-16 00:00:00,1969-03-01 00:00:00,Original,http://www.ibdb.com/broadway-production/plaza-suite-526530#Tours,1968
575,575,Plaza Suite (Tour),Tour,Play,1968-10-07 00:00:00,1970-02-14 00:00:00,Original,http://www.ibdb.com/broadway-production/plaza-suite-526531#Tours,1968
576,576,Plaza Suite (Tour),Tour,Play,1970-10-16 00:00:00,1971-04-25 00:00:00,Original,http://www.ibdb.com/broadway-production/plaza-suite-526532#Tours,1970
577,577,I Do! I Do! (Tour),Tour,Musical,1972-09-22 00:00:00,1973-03-27 00:00:00,Original,http://www.ibdb.com/broadway-production/i-do-i-do-526549#Tours,1972
578,578,Luv (Tour),Tour,Play,1965-09-06 00:00:00,1966-06-11 00:00:00,Original,http://www.ibdb.com/broadway-production/luv-526561#Tours,1965
579,579,Luv (Tour),Tour,Play,1966-10-01 00:00:00,1967-04-08 00:00:00,Original,http://www.ibdb.com/broadway-production/luv-526562#Tours,1966
580,580,What the Constitution Means to Me (Tour),Tour,Play,2020-01-12 00:00:00,,Original,http://www.ibdb.com/broadway-production/what-the-constitution-means-to-me-526565#Tours,2020
581,581,Last of the Red Hot Lovers (Tour),Tour,Play,1970-09-28 00:00:00,1971-08-21 00:00:00,Original,http://www.ibdb.com/broadway-production/last-of-the-red-hot-lovers-526566#Tours,1970
582,582,That Championship Season (Tour),Tour,Play,1973-10-01 00:00:00,1974-06-16 00:00:00,Original,http://www.ibdb.com/broadway-production/that-championship-season-526584#Tours,1973
583,583,Barefoot in the Park (Tour),Tour,Play,1964-07-27 00:00:00,1966-07-30 00:00:00,Original,http://www.ibdb.com/broadway-production/barefoot-in-the-park-526624#Tours,1964
584,584,Barefoot in the Park (Tour),Tour,Play,1965-09-24 00:00:00,1966-05-01 00:00:00,Original,http://www.ibdb.com/broadway-production/barefoot-in-the-park-526628#Tours,1965
585,585,Barefoot in the Park (Tour),Tour,Play,1966-10-13 00:00:00,1966-12-06 00:00:00,Original,http://www.ibdb.com/broadway-production/barefoot-in-the-park-526631#Tours,1966
586,586,The Odd Couple (Tour),Tour,Play,1965-12-27 00:00:00,1967-10-14 00:00:00,Original,http://www.ibdb.com/broadway-production/the-odd-couple-526634#Tours,1965
587,587,The Odd Couple (Tour),Tour,Play,1966-08-02 00:00:00,1967-07-15 00:00:00,Original,http://www.ibdb.com/broadway-production/the-odd-couple-526635#Tours,1966
588,588,The Odd Couple (Tour),Tour,Play,1966-10-07 00:00:00,1967-04-22 00:00:00,Original,http://www.ibdb.com/broadway-production/the-odd-couple-526636#Tours,1966
589,589,The Odd Couple (Tour),Tour,Play,1967-10-16 00:00:00,1968-06-01 00:00:00,Original,http://www.ibdb.com/broadway-production/the-odd-couple-526637#Tours,1967
590,590,The Star-Spangled Girl (Tour),Tour,Play,1968-02-26 00:00:00,1968-06-22 00:00:00,Original,http://www.ibdb.com/broadway-production/the-star-spangled-girl-526661#Tours,1968
